,CountryCode,categoryId,channelId,channelTitle,publishedAt,videoId,id,title
0,US,24,UCqFzWxSCi39LnW1JKFR3efg,Saturday Night Live,8,A8HLnDP6uRM,24,Entertainment
1,US,24,UC8JE00xTMBOqKs7o0grFTfQ,Poppy,1,ZWAkzvL5Ho4,24,Entertainment
2,US,24,UCZGYJFUizSax-yElQaFDp5Q,Star Wars,2,UVNIEszp2UQ,24,Entertainment
3,US,24,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,21,QK_iX5cPDhE,24,Entertainment
4,US,24,UC0v-tlzsn0QZwJnkiaUSJVQ,FBE,22,fuHcdFPBKy0,24,Entertainment
5,US,24,UCMtFAi84ehTSYSE9XoHefig,The Late Show with Stephen Colbert,8,00nmxR1mxIA,24,Entertainment
6,US,24,UCGCVyTWogzQ4D170BLy2Arw,Simply Nailogical,16,ta6sV6WrElE,24,Entertainment
7,US,24,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,1,vn9mMeWcgoM,24,Entertainment
8,US,24,UCSAUGyc_xA8uYzaIVG6MESQ,nigahiga,19,JBDWIGpKnwM,24,Entertainment
9,US,24,UCKy1dAqELo0zrOtPkf0eTMw,IGN,20,QsLmJq8cHlA,24,Entertainment
10,US,24,UCCj956IF62FbT7Gouszaj9w,BBC,18,Zi9MkiQzl20,24,Entertainment
11,US,24,UCXUrDDdmQHni2UTSNyIh4ag,jennxpenn,19,vglAsbxMX_Q,24,Entertainment
12,US,24,UCYyDbdaja1UDNdFSwUrYVGA,John Campea,18,8H0alk0e0tg,24,Entertainment
13,US,24,UCJ0uqCI0Vqr2Rrt1HseGirg,The Late Late Show with James Corden,5,vW7H-DKivX8,24,Entertainment
14,US,24,UCp0hYYBW6IMayGgR-WeoCvQ,TheEllenShow,14,bye513KciIk,24,Entertainment
15,US,24,UCR4wTAyVbbX-IiBiGCgIBTg,LIVEKellyandRyan,18,2jhwGiO5XJ8,24,Entertainment
16,US,24,UCucot-Zp428OwkyRm2I7v2Q,James Charles,21,Y26pMy4jf8U,24,Entertainment
17,US,24,UCa6vGFO9ty8v5KZJXQxdhaw,Jimmy Kimmel Live,12,jibff9m0SjQ,24,Entertainment
18,US,24,UCBR8-60-B28hp2BmDPdntcQ,YouTube Spotlight,17,FlsCjmMhFmw,24,Entertainment
19,US,24,UCqFzWxSCi39LnW1JKFR3efg,Saturday Night Live,8,A8HLnDP6uRM,24,Entertainment
20,US,24,UC8JE00xTMBOqKs7o0grFTfQ,Poppy,1,ZWAkzvL5Ho4,24,Entertainment
21,US,24,UCZGYJFUizSax-yElQaFDp5Q,Star Wars,2,UVNIEszp2UQ,24,Entertainment
22,US,24,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,21,QK_iX5cPDhE,24,Entertainment
23,US,24,UC0v-tlzsn0QZwJnkiaUSJVQ,FBE,22,fuHcdFPBKy0,24,Entertainment
24,US,24,UCMtFAi84ehTSYSE9XoHefig,The Late Show with Stephen Colbert,8,00nmxR1mxIA,24,Entertainment
25,US,24,UCGCVyTWogzQ4D170BLy2Arw,Simply Nailogical,16,ta6sV6WrElE,24,Entertainment
26,US,24,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,1,vn9mMeWcgoM,24,Entertainment
27,US,24,UCSAUGyc_xA8uYzaIVG6MESQ,nigahiga,19,JBDWIGpKnwM,24,Entertainment
28,US,24,UCKy1dAqELo0zrOtPkf0eTMw,IGN,20,QsLmJq8cHlA,24,Entertainment
29,US,24,UCCj956IF62FbT7Gouszaj9w,BBC,18,Zi9MkiQzl20,24,Entertainment
30,US,24,UCXUrDDdmQHni2UTSNyIh4ag,jennxpenn,19,vglAsbxMX_Q,24,Entertainment
