,CountryCode,categoryId,channelId,channelTitle,publishedAt,videoId
0,GB,24,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,01,vn9mMeWcgoM
1,GB,1,UC2-BeLxzUBSs0uSrmzWhJuQ,20th Century Fox,19,aj8mN_7Apcw
2,GB,23,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,17,w4AImq08j9o
3,GB,20,UClG8odDC8TS6Zpqk9CGVQiQ,Fortnite,02,sZcuF1T4Vxw
4,GB,24,UCBR8-60-B28hp2BmDPdntcQ,YouTube Spotlight,17,FlsCjmMhFmw
5,GB,10,UC20vb-R_px4CguHzzBPhoyQ,EminemVEVO,05,56KYMMGudcU
6,GB,20,UCGIY_O-8vW4rfX98KlMkvRg,Nintendo,02,dyBFAX4SDEc
7,GB,24,UCJ0uqCI0Vqr2Rrt1HseGirg,The Late Late Show with James Corden,05,vW7H-DKivX8
8,GB,17,UCTFzlMvFx2f5D9t3fl79w7Q,Nile Wilson,17,UKka73nn1dk
9,GB,20,UCCkxMbfZ80VFwwiRlIG5P5g,FROMSOFTWARE,02,iWFgvbf_Zu8
10,GB,2,UCjOl2AUblVmg2rA_cRgZkFg,Top Gear,12,mHhZ9jk-DrU
11,GB,10,UCgkt10hEZXC6nGwkqeEWK5Q,ManicStPreachersVEVO,08,rXfnPGGfSh8
12,GB,23,UCWXCrItCF6ZgXrdozUS-Idw,ExplosmEntertainment,06,r8FQ5wUYm9c
13,GB,20,UC-2Y8dQb0S6DtpxNgAKoJKA,PlayStation,07,tnCbI51JpAM
14,GB,20,UCrQEMZ1k5QkXh5n5QQBwaSg,Campo Santo Productions,02,ceJcHUoO734
15,GB,20,UC_ntXHv-XdKCD7CPynVvnQw,Bandai Namco Entertainment America,02,m1sdAmSq4vs
16,GB,23,UCi7GJNg51C3jgmYTUwqoUXA,Team Coco,18,ms9j25XkYoU
17,GB,20,UCnXDQbqIdp-HQuDyM4p12ng,PLAYERUNKNOWN'S BATTLEGROUNDS,04,6TOSV3-7hzU
18,GB,24,UCdM8C3ufiI-i-I1XSugKVvg,The Real Daytime,17,kmH6rve3qF0
19,GB,10,UCe4LM_eKc9ywRmVuBm5pjQg,Atlantic Records,17,ntLtNTUCuII
20,GB,22,UCvNWqKR69jB56_PMYUARHAA,LOVE TV by LOVE Magazine,08,N40CC9Wzd9A
21,GB,24,UCqFzWxSCi39LnW1JKFR3efg,Saturday Night Live,15,yqFIrrcmsJI
22,GB,25,UCHd62-u_v4DvJ8TCFtpi4GA,Washington Post,03,rEzEGto67Jw
23,GB,24,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,15,5ELQ6u_5YYM
24,GB,24,UCMtFAi84ehTSYSE9XoHefig,The Late Show with Stephen Colbert,08,PPCDMi5xmmk
25,GB,22,UC8oboOHV9cQmgk9xUL92V-A,The Voidz,15,oQx3h5D9pwg
26,GB,24,UCrTNhL_yO3tPTdQ5XgmmWjA,RedLetterMedia,22,Rm09nLK-Pg8
27,GB,24,UCp0hYYBW6IMayGgR-WeoCvQ,TheEllenShow,14,bye513KciIk
28,GB,22,UCu_9_zRVfKee4v7xXXcv2ag,SOPHIE,14,uERIXLWeik0
29,GB,27,UCDsO-0Yo5zpJk575nKXgMVA,RocketJump,19,GFMyMxMYDNk
30,GB,24,UCbhNxkjmpQcTJDrabiyzHUw,Carrie Hope Fletcher,13,0hcp-eMOn4E
31,GB,24,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,17,1sl5KJ69qiA
32,GB,24,UCy6D16zE_mMEm1HVD20WFxA,Watch What Happens Live with Andy Cohen,13,qLVZiKDNxtw
33,GB,22,UCrUbqTCagwsaP2Fmr0p1TsA,MoreZoella,16,JqA6TZW9-0w
34,GB,1,UC3sznuotAs2ohg_U__Jzj_Q,The Film Theorists,19,Zh4c5IrllBg
35,GB,20,UCApHvBKENHNgOjts_1LbGdg,XCageGame,04,ECLwG0sHrAw
36,GB,22,UCtJiRqiTLjCuouJC2Ho-5Mw,Megan Ellaby,19,JhfACxB_KWs
37,GB,20,UCd534c_ehOvrLVL2v7Nl61w,Muselk,18,mebZJFd8_Vw
38,GB,24,UCnEn0EUV13IR-_TK7fiIp3g,PointlessBlogVlogs,17,Ic8yK9YLyak
